"Time","D","P","I"
2023-12-13 20:17:04,1,118,0
2023-12-13 20:17:04,0,149,0
2023-12-13 20:17:04,0,176,0
2023-12-13 20:17:04,0,218,0
2023-12-13 20:17:04,0,244,0
2023-12-13 20:17:04,0,257,0
2023-12-13 20:17:04,0,285,0
2023-12-13 20:17:04,0,294,0
2023-12-13 20:17:04,0,298,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:04,0,299,0
2023-12-13 20:17:05,0,299,0
2023-12-13 20:17:05,0,299,0
