"Time","Wattage","Temperature"
2024-02-24 17:27:40.452,10.2,40
2024-02-24 17:27:40.475,10.0,40
2024-02-24 17:27:40.520,10.1,40
2024-02-24 17:27:40.591,10.2,40
2024-02-24 17:27:40.631,9.75,40
2024-02-24 17:27:40.677,10.2,40
2024-02-24 17:27:40.721,9.71,40
2024-02-24 17:27:39.015,10.4,40
2024-02-24 17:27:39.509,10.4,40
2024-02-24 17:27:39.824,10.1,40
2024-02-24 17:27:40.002,10.1,40
2024-02-24 17:27:40.227,9.92,40
2024-02-24 17:27:40.362,10.0,40
2024-02-24 17:27:40.452,10.2,40
2024-02-24 17:27:40.520,10.1,40
2024-02-24 17:27:40.631,9.75,40
2024-02-24 17:27:40.721,9.71,40
2024-02-24 17:27:40.768,10.2,40
2024-02-24 17:27:40.813,9.86,40
2024-02-24 17:27:40.858,9.56,40
2024-02-24 17:27:40.902,10.2,40
2024-02-24 17:27:40.970,10.1,40
2024-02-24 17:27:41.037,10.6,40
2024-02-24 17:27:41.081,9.90,40
2024-02-24 17:27:41.126,10.0,40
2024-02-24 17:27:41.172,10.2,40
2024-02-24 17:27:41.220,10.5,40
2024-02-24 17:27:39.509,10.4,40
2024-02-24 17:27:40.002,10.1,40
2024-02-24 17:27:40.362,10.0,40
2024-02-24 17:27:40.520,10.1,40
2024-02-24 17:27:40.721,9.71,40
2024-02-24 17:27:40.813,9.86,40
2024-02-24 17:27:40.902,10.2,40
2024-02-24 17:27:41.037,10.6,40
2024-02-24 17:27:41.126,10.0,40
2024-02-24 17:27:41.220,10.5,40
2024-02-24 17:27:41.266,10.3,40
2024-02-24 17:27:41.311,9.83,40
2024-02-24 17:27:41.396,10.6,40
2024-02-24 17:27:41.442,10.3,40
2024-02-24 17:27:41.510,9.82,40
2024-02-24 17:27:41.534,10.2,40
2024-02-24 17:27:41.577,10.4,40
2024-02-24 17:27:41.623,9.83,40
2024-02-24 17:27:41.670,9.94,40
2024-02-24 17:27:41.717,10.7,40
2024-02-24 17:27:40.002,10.1,40
2024-02-24 17:27:40.520,10.1,40
2024-02-24 17:27:40.813,9.86,40
2024-02-24 17:27:41.037,10.6,40
2024-02-24 17:27:41.220,10.5,40
2024-02-24 17:27:41.311,9.83,40
2024-02-24 17:27:41.442,10.3,40
2024-02-24 17:27:41.534,10.2,40
2024-02-24 17:27:41.623,9.83,40
2024-02-24 17:27:41.717,10.7,40
2024-02-24 17:27:41.762,10.2,40
2024-02-24 17:27:41.802,10.4,40
2024-02-24 17:27:41.869,9.88,40
2024-02-24 17:27:41.939,9.81,40
2024-02-24 17:27:41.981,10.4,40
2024-02-24 17:27:42.029,9.91,40
2024-02-24 17:27:42.074,10.1,40
2024-02-24 17:27:42.120,9.74,40
2024-02-24 17:27:42.166,10.5,40
2024-02-24 17:27:42.211,10.1,40
2024-02-24 17:27:40.520,10.1,40
2024-02-24 17:27:41.037,10.6,40
2024-02-24 17:27:41.311,9.83,40
2024-02-24 17:27:41.534,10.2,40
2024-02-24 17:27:41.717,10.7,40
2024-02-24 17:27:41.802,10.4,40
2024-02-24 17:27:41.939,9.81,40
2024-02-24 17:27:42.029,9.91,40
2024-02-24 17:27:42.120,9.74,40
2024-02-24 17:27:42.211,10.1,40
2024-02-24 17:27:42.254,9.71,40
2024-02-24 17:27:42.388,10.5,40
2024-02-24 17:27:42.433,10.3,40
2024-02-24 17:27:42.477,9.92,40
2024-02-24 17:27:42.523,10.3,40
2024-02-24 17:27:42.569,10.6,40
2024-02-24 17:27:42.623,10.1,40
2024-02-24 17:27:42.679,10.4,40
2024-02-24 17:27:42.702,10.4,40
2024-02-24 17:27:41.037,10.6,40
2024-02-24 17:27:41.534,10.2,40
2024-02-24 17:27:41.802,10.4,40
2024-02-24 17:27:42.029,9.91,40
2024-02-24 17:27:42.211,10.1,40
2024-02-24 17:27:42.388,10.5,40
2024-02-24 17:27:42.477,9.92,40
2024-02-24 17:27:42.569,10.6,40
2024-02-24 17:27:42.679,10.4,40
2024-02-24 17:27:42.758,10.1,40
2024-02-24 17:27:42.838,10.3,40
2024-02-24 17:27:42.884,10.2,40
2024-02-24 17:27:42.929,10.3,40
2024-02-24 17:27:42.974,10.2,40
2024-02-24 17:27:43.018,9.87,40
2024-02-24 17:27:43.063,10.2,40
2024-02-24 17:27:43.108,10.3,40
2024-02-24 17:27:43.153,9.62,40
2024-02-24 17:27:43.219,9.87,40
2024-02-24 17:27:41.534,10.2,40
2024-02-24 17:27:42.029,9.91,40
2024-02-24 17:27:42.388,10.5,40
2024-02-24 17:27:42.569,10.6,40
2024-02-24 17:27:42.758,10.1,40
2024-02-24 17:27:42.884,10.2,40
2024-02-24 17:27:42.974,10.2,40
2024-02-24 17:27:43.063,10.2,40
2024-02-24 17:27:43.153,9.62,40
2024-02-24 17:27:43.291,9.86,40
2024-02-24 17:27:43.333,10.4,40
2024-02-24 17:27:43.377,9.83,40
2024-02-24 17:27:43.423,9.91,40
2024-02-24 17:27:43.468,10.2,40
2024-02-24 17:27:43.513,10.1,40
2024-02-24 17:27:43.557,9.95,40
2024-02-24 17:27:43.603,9.57,40
2024-02-24 17:27:43.669,10.3,40
2024-02-24 17:27:42.029,9.91,40
2024-02-24 17:27:42.569,10.6,40
2024-02-24 17:27:42.884,10.2,40
2024-02-24 17:27:43.063,10.2,40
2024-02-24 17:27:43.291,9.86,40
2024-02-24 17:27:43.377,9.83,40
2024-02-24 17:27:43.468,10.2,40
2024-02-24 17:27:43.557,9.95,40
2024-02-24 17:27:43.669,10.3,40
2024-02-24 17:27:43.737,10.0,40
2024-02-24 17:27:43.784,10.1,40
2024-02-24 17:27:43.830,9.97,40
2024-02-24 17:27:43.874,10.5,40
2024-02-24 17:27:43.918,9.89,40
2024-02-24 17:27:43.962,10.2,40
2024-02-24 17:27:44.012,10.4,40
2024-02-24 17:27:44.052,10.1,40
2024-02-24 17:27:44.118,10.5,40
2024-02-24 17:27:44.191,10.1,40
2024-02-24 17:27:44.231,10.6,40
2024-02-24 17:27:42.569,10.6,40
2024-02-24 17:27:43.063,10.2,40
2024-02-24 17:27:43.377,9.83,40
2024-02-24 17:27:43.557,9.95,40
2024-02-24 17:27:43.737,10.0,40
2024-02-24 17:27:43.830,9.97,40
