Time,Wattage
2024-02-24 17:50:19.4580,0.989
2024-02-24 17:50:19.5470,1.7
2024-02-24 17:50:19.5800,1.28
2024-02-24 17:50:19.6650,1.4
2024-02-24 17:50:19.6870,1.31
2024-02-24 17:50:19.7250,1.22
2024-02-24 17:50:19.7700,1.69
2024-02-24 17:50:19.8140,1.34
2024-02-24 17:50:19.8620,1.63
2024-02-24 17:50:19.9070,0.98
2024-02-24 17:50:19.9960,1.53
2024-02-24 17:50:20.0200,1.34
2024-02-24 17:50:20.0870,1.36
2024-02-24 17:50:20.1760,1.51
2024-02-24 17:50:20.1860,1.62
2024-02-24 17:50:20.2300,1.15
2024-02-24 17:50:20.2650,1.52
2024-02-24 17:50:20.3210,1.29
2024-02-24 17:50:20.3760,1.61
2024-02-24 17:50:20.3990,1.71
2024-02-24 17:50:20.4980,1.14
2024-02-24 17:50:20.5820,1.75
2024-02-24 17:50:20.6050,1.13
2024-02-24 17:50:20.6680,1.47
2024-02-24 17:50:20.7140,1.15
2024-02-24 17:50:20.7260,1.46
2024-02-24 17:50:20.7690,1.56
2024-02-24 17:50:20.8130,1.68
2024-02-24 17:50:20.8490,1.52
2024-02-24 17:50:20.9200,1.33
2024-02-24 17:50:20.9840,1.38
2024-02-24 17:50:21.0300,1.4
2024-02-24 17:50:21.0750,1.34
2024-02-24 17:50:21.1640,1.11
2024-02-24 17:50:21.1870,1.49
2024-02-24 17:50:21.2530,1.1
2024-02-24 17:50:21.2970,1.63
2024-02-24 17:50:21.3200,1.49
2024-02-24 17:50:21.3710,1.51
2024-02-24 17:50:21.4340,1.31
2024-02-24 17:50:21.4800,1.23
2024-02-24 17:50:21.5250,1.44
2024-02-24 17:50:21.5690,1.19
2024-02-24 17:50:21.6190,1.32
2024-02-24 17:50:21.6650,1.44
2024-02-24 17:50:21.7500,1.52
2024-02-24 17:50:21.7750,1.36
2024-02-24 17:50:21.8200,1.33
2024-02-24 17:50:21.8830,1.34
2024-02-24 17:50:21.9310,1.32
2024-02-24 17:50:21.9780,1.37
2024-02-24 17:50:22.0220,1.53
2024-02-24 17:50:22.0640,1.18
2024-02-24 17:50:22.1120,1.75
2024-02-24 17:50:22.1590,1.5
2024-02-24 17:50:22.2030,1.65
2024-02-24 17:50:22.2580,1.07
2024-02-24 17:50:22.3550,1.69
2024-02-24 17:50:22.3800,1.33
2024-02-24 17:50:22.4260,1.4
2024-02-24 17:50:22.4700,1.57
2024-02-24 17:50:22.5160,1.35
2024-02-24 17:50:22.5620,1.44
2024-02-24 17:50:22.6080,1.28
2024-02-24 17:50:22.6490,1.48
2024-02-24 17:50:22.7180,1.07
2024-02-24 17:50:22.7840,1.6
2024-02-24 17:50:22.8300,1.32
2024-02-24 17:50:22.8750,1.22
2024-02-24 17:50:22.9200,0.945
2024-02-24 17:50:22.9640,1.61
2024-02-24 17:50:23.0540,1.49
2024-02-24 17:50:23.0980,1.41
2024-02-24 17:50:23.1210,1.53
2024-02-24 17:50:23.1590,1.36
2024-02-24 17:50:23.2340,1.41
2024-02-24 17:50:23.2800,1.31
2024-02-24 17:50:23.3250,1.75
2024-02-24 17:50:23.3680,1
2024-02-24 17:50:23.4160,1.67
2024-02-24 17:50:23.4630,0.988
